,loss,acc,val_loss,val_acc
0,0.6867482113838196,0.546999990940094,0.6695551407337189,0.5529999732971191
1,0.6511959832906723,0.6215000152587891,0.6531807827949524,0.5920000076293945
2,0.6012381663918496,0.6710000038146973,0.599562703371048,0.6779999732971191
3,0.5581635186076164,0.7070000171661377,0.6889671856164932,0.625
4,0.5243637898564338,0.7475000023841858,0.5709763634204864,0.7089999914169312
5,0.497197784781456,0.7670000195503235,0.5717254364490509,0.7099999785423279
6,0.4720155695080757,0.7695000171661377,0.6467375189065934,0.6660000085830688
7,0.4428950062394142,0.7929999828338623,0.5415703850984573,0.722000002861023
8,0.4164884725213051,0.8090000152587891,0.5454913058876991,0.7179999947547913
9,0.3863783919811249,0.8180000185966492,0.5649329841136932,0.7279999852180481
10,0.362025036662817,0.8395000100135803,0.6670391768217087,0.675000011920929
11,0.3330327086150646,0.8644999861717224,0.5552459853887558,0.7289999723434448
12,0.31043232388794423,0.8705000281333923,0.593104258775711,0.7350000143051147
13,0.284341968819499,0.8840000033378601,0.6091639477014542,0.7239999771118164
14,0.26014437347650526,0.8914999961853027,0.6273858132958412,0.7229999899864197
15,0.2376251597702503,0.9129999876022339,0.5948417994379998,0.7379999756813049
16,0.2157540448755026,0.9150000214576721,0.6528231704235077,0.7350000143051147
17,0.2010300474241376,0.925000011920929,0.6496652662754059,0.7450000047683716
18,0.17482888303697108,0.9355000257492065,0.704442192018032,0.722000002861023
19,0.157567274607718,0.9445000290870667,0.6833476695418358,0.7459999918937683
20,0.14027402961626648,0.9495000243186951,0.6924013990163803,0.7390000224113464
21,0.11875720251351594,0.9599999785423279,0.7682061576843262,0.7310000061988831
22,0.10378156017512083,0.9674999713897705,0.74459528952837,0.7440000176429749
23,0.08663905415683985,0.9714999794960022,0.786089369058609,0.75
24,0.07577280644327403,0.9769999980926514,0.916552831530571,0.7179999947547913
25,0.0629402173962444,0.9794999957084656,0.9189407080411911,0.7329999804496765
26,0.05606056760530919,0.984000027179718,0.981376331448555,0.7289999723434448
27,0.045588432671502234,0.9869999885559082,0.9446393206715584,0.7289999723434448
28,0.03868299689143896,0.9919999837875366,1.0279375052452087,0.7089999914169312
29,0.040323869900312274,0.9869999885559082,1.123586317896843,0.734000027179718
